"hour","datetime","funny_total","funny_online","askscience_total","askscience_online","TodayILearned_total","TodayILearned_online","gonewild_total","gonewild_online","firstworldanarchists_total","firstworldanarchists_online","buildapc_total","buildapc_online","dataisbeautiful_total","dataisbeautiful_online","calvinandhobbes_total","calvinandhobbes_online","sixworldstories_total","sixworldstories_online","ExplainLikeIAmA_total","ExplainLikeIAmA_online"
"952","2/9 16:0","5311022","25591","1929993","2677","4986312","12832","556299","3403","190474","128","181191","1067","155188","277","74867","30","18648","18","84316","70"
"953","2/9 17:0","5311402","22351","1930398","2450","4986728","13473","556331","3212","190482","108","181198","1079","155196","218","74868","30","18651","27","84322","77"
"954","2/9 18:0","5311777","23488","1930801","2393","4987103","15194","556362","3130","190484","100","181213","1041","155206","198","74870","38","18651","16","84322","68"
"955","2/9 19:0","5312148","29013","1931198","2187","4987491","12533","556397","3099","190492","95","181231","1094","155219","180","74873","29","18653","24","84328","77"
"956","2/9 20:0","5312569","32395","1931629","2111","4987913","11891","556425","3268","190499","82","181244","1109","155227","210","74875","28","18654","30","84332","76"
"957","2/9 21:0","5312912","31119","1932000","2084","4988271","12773","556464","3898","190503","98","181258","1047","155236","185","74882","39","18655","28","84337","88"
"958","2/9 22:0","5313316","24855","1932410","1892","4988691","13436","556485","4178","190515","94","181269","993","155245","133","74885","32","18655","28","84339","108"
"959","2/9 23:0","5313640","22486","1932761","1777","4989024","11434","556520","3596","190528","71","181277","922","155252","139","74887","27","18658","23","84341","105"
"960","2/10 0:0","5313941","16388","1933072","2259","4989342","8113","556567","3175","190538","61","181288","726","155258","132","74888","30","18659","17","84346","87"
"961","2/10 1:0","5314166","13707","1933298","2339","4989584","6143","556594","2558","190538","56","181296","578","155262","87","74888","18","18658","16","84348","74"
"962","2/10 2:0","5314370","10253","1933510","1979","4989791","4723","556632","1867","190541","51","181302","453","155268","81","74888","14","18658","10","84349","60"
"963","2/10 3:0","5314516","8528","1933673","1613","4989947","3926","556640","1565","190544","32","181310","373","155271","68","74888","17","18660","12","84349","61"
"964","2/10 4:0","5314673","8436","1933838","1573","4990108","3788","556653","1499","190549","39","181313","385","155275","68","74889","16","18661","11","84349","54"
"965","2/10 5:0","5314825","9731","1933991","1811","4990270","4321","556661","1839","190552","52","181316","429","155275","158","74890","19","18661","12","84350","67"
"966","2/10 6:0","5314990","12505","1934174","2132","4990453","5107","556673","2339","190554","52","181321","526","155279","83","74891","15","18663","11","84350","67"
"967","2/10 7:0","5315168","12290","1934370","2429","4990647","6382","556680","2531","190554","51","181330","695","155290","71","74890","14","18663","11","84351","82"
"968","2/10 8:0","5315391","13523","1934613","2480","4990893","7777","556687","2594","190560","63","181333","745","155294","87","74888","27","18664","11","84350","95"
"969","2/10 9:0","5315642","12742","1934884","2475","4991179","12235","556697","2842","190562","81","181340","757","155301","105","74886","26","18668","14","84350","115"
"970","2/10 10:0","5315920","18734","1935167","2230","4991459","12320","556707","2834","190565","72","181350","712","155312","230","74885","17","18667","14","84351","132"
"971","2/10 11:0","5316255","20070","1935530","2413","4991813","11448","556716","2759","190575","125","181358","713","155323","295","74890","23","18670","15","84350","118"
"972","2/10 12:0","5316621","21430","1935914","2449","4992188","11521","556720","2757","190582","158","181367","713","155332","278","74894","28","18671","24","84351","122"
"973","2/10 13:0","5316932","22788","1936254","2792","4992532","11342","556735","2724","190575","248","181383","690","155343","284","74893","23","18673","11","84357","141"
"974","2/10 14:0","5317270","24330","1936617","3721","4992899","10112","556753","2757","190570","422","181392","672","155355","240","74895","27","18675","15","84360","184"
"975","2/10 15:0","5317619","26195","1936978","3216","4993258","10737","556779","2970","190571","441","181409","669","155362","244","74894","26","18679","12","84362","227"
"976","2/10 16:0","5317975","29613","1937354","3647","4993643","7945","556807","3086","190577","387","181420","713","155368","199","74895","20","18678","15","84362","247"
"977","2/10 17:0","5318332","27981","1937720","4237","4994011","8250","556833","3559","190594","394","181424","684","155378","189","74898","20","18680","18","84362","236"
"978","2/10 18:0","5318666","23320","1938075","3973","4994370","7278","556861","3090","190599","363","181431","639","155386","212","74896","12","18681","14","84364","259"
"979","2/10 19:0","5319017","25881","1938425","4224","4994721","7702","556898","3120","190602","352","181434","648","155399","194","74898","18","18686","25","84365","278"
"980","2/10 20:0","5319413","26150","1938854","4254","4995147","7736","556932","3740","190611","347","181444","650","155408","166","74897","23","18688","22","84367","276"
"981","2/10 21:0","5319760","25016","1939213","3719","4995505","8158","556947","4043","190625","254","181448","654","155414","178","74902","28","18687","24","84375","225"
"982","2/10 22:0","5320089","24367","1939566","3029","4995851","9018","556962","4449","190630","228","181459","671","155423","157","74900","27","18688","26","84376","208"
"983","2/10 23:0","5320390","22381","1939871","2590","4996158","9090","557003","4061","190642","198","181470","626","155429","112","74900","10","18688","23","84380","175"
"991","2/11 7:0","5320653","18627","1940150","1934","4996430","9065","557035","3447","190653","150","181475","575","155433","99","74903","12","18689","14","84385","124"
"992","2/11 8:0","5320851","15894","1940364","1647","4996649","7447","557058","2648","190655","100","181478","496","155437","73","74904","9","18689","16","84388","120"
"993","2/11 9:0","5321018","10748","1940538","1355","4996841","6036","557079","2026","190656","88","181480","358","155437","67","74905","16","18690","7","84390","82"
"994","2/11 10:0","5321185","8374","1940706","1102","4997017","5251","557083","1608","190659","74","181488","330","155439","52","74904","10","18690","12","84394","71"
"995","2/11 11:0","5321330","8084","1940858","1091","4997163","4492","557087","1591","190664","73","181493","324","155440","48","74904","7","18690","9","84397","69"
"996","2/11 12:0","5321473","9809","1941008","1172","4997318","4888","557109","2038","190669","66","181494","361","155441","62","74902","8","18691","12","84399","70"
"997","2/11 13:0","5321630","11507","1941195","1382","4997492","5622","557127","2334","190674","85","181503","405","155439","57","74901","11","18691","10","84400","73"
"998","2/11 14:0","5321830","14099","1941413","1438","4997708","6397","557131","2448","190681","100","181510","494","155442","84","74902","14","18690","17","84402","89"
"999","2/11 15:0","5322030","22305","1941644","1679","4997928","7632","557142","2730","190682","134","181521","540","155443","224","74901","15","18690","14","84402","100"
"1000","2/11 16:0","5322334","24510","1941954","1937","4998250","9650","557143","2853","190686","187","181531","645","155452","284","74902","25","18692","16","84402","100"
"1001","2/11 17:0","5322629","23746","1942280","3176","4998570","8331","557154","2717","190693","192","181547","695","155455","293","74904","20","18691","13","84402","90"
"1002","2/11 18:0","5322954","24188","1942604","2649","4998893","7398","557156","2669","190699","200","181559","669","155465","284","74903","24","18693","17","84405","85"
"1003","2/11 19:0","5323263","25680","1942957","2948","4999248","7057","557172","2796","190705","170","181567","852","155474","230","74902","26","18696","14","84408","44"
"1004","2/11 20:0","5323542","26356","1943319","5991","4999610","7921","557179","2818","190709","191","181572","875","155486","210","74903","20","18697","13","84407","37"
"1005","2/11 21:0","5323904","25507","1943732","3829","5000027","8538","557209","2859","190720","184","181586","944","155493","217","74902","31","18695","21","84410","59"
"1006","2/11 22:0","5324236","27452","1944131","2151","5000428","8260","557221","3178","190725","174","181597","865","155501","216","74903","26","18699","26","84413","110"
"1007","2/11 23:0","5324559","16221","1944503","1188","5000801","4992","557243","2714","190732","97","181607","560","155507","139","74904","14","18699","14","84413","80"
"1008","2/12 0:0","5324885","22403","1944876","1578","5001178","7845","557270","3722","190738","154","181620","757","155524","201","74909","33","18702","36","84413","116"
"1009","2/12 1:0","5325265","23468","1945308","1524","5001618","8515","557308","3563","190742","168","181637","685","155526","179","74912","39","18701","22","84414","104"
"1010","2/12 2:0","5325562","25689","1945682","1451","5001996","7578","557336","3715","190745","266","181649","729","155532","236","74911","43","18700","26","84415","119"
"1011","2/12 3:0","5325901","38537","1946081","1467","5002397","7750","557376","4081","190750","470","181664","685","155538","206","74913","45","18701","25","84415","121"
"1012","2/12 4:0","5326227","35790","1946460","1406","5002791","8916","557426","4167","190765","668","181687","678","155548","196","74917","39","18703","27","84418","148"
"1013","2/12 5:0","5326471","31068","1946782","1466","5003107","7109","557440","4190","190780","465","181703","625","155561","190","74920","34","18706","23","84419","122"
"1014","2/12 6:0","5326737","24687","1947087","1320","5003418","5121","557480","3727","190808","400","181712","514","155566","170","74924","32","18706","17","84420","88"
"1015","2/12 7:0","5327020","19032","1947402","1759","5003733","4216","557508","3270","190834","302","181723","495","155574","141","74925","16","18703","21","84419","82"
"1016","2/12 8:0","5327265","14966","1947688","1015","5004012","3356","557526","2540","190849","230","181726","395","155578","106","74930","20","18706","21","84420","61"
"1018","2/12 10:0","5327599","11898","1948070","801","5004386","2496","557535","1560","190858","132","181735","326","155592","78","74934","8","18705","11","84421","32"
"1019","2/12 11:0","5327724","10644","1948225","837","5004550","2426","557550","1469","190868","114","181744","310","155596","83","74933","10","18705","10","84422","34"
"1020","2/12 12:0","5327855","11981","1948396","1041","5004722","2791","557574","1805","190868","135","181747","367","155598","85","74933","13","18704","6","84423","46"
"1021","2/12 13:0","5327983","15314","1948570","1846","5004885","3364","557574","2330","190870","139","181754","425","155601","85","74934","14","18705","16","84421","56"
"1022","2/12 14:0","5328152","22465","1948775","2283","5005096","4033","557582","2492","190868","121","181757","512","155607","175","74933","13","18706","13","84422","56"
"1023","2/12 15:0","5328348","21829","1949010","2538","5005325","5187","557603","2711","190877","142","181770","584","155616","417","74934","20","18705","16","84423","58"
"1024","2/12 16:0","5328593","18257","1949273","2706","5005592","9057","557608","2804","190879","157","181783","738","155642","964","74935","22","18706","21","84423","76"
"1025","2/12 17:0","5328873","19222","1949577","2633","5005900","8048","557624","2600","190884","141","181803","740","155670","817","74937","25","18705","23","84424","72"
"1026","2/12 18:0","5329218","20760","1949946","2581","5006267","9291","557636","2637","190884","140","181815","844","155682","631","74940","22","18706","31","84423","93"
"1027","2/12 19:0","5329676","25054","1950439","1995","5006757","9629","557663","2651","190893","164","181830","808","155708","580","74943","19","18706","18","84422","78"
"1028","2/12 20:0","5330079","24746","1950867","1873","5007187","7376","557697","2792","190901","155","181842","749","155722","410","74941","29","18706","25","84423","75"
"1029","2/12 21:0","5330499","27543","1951327","1779","5007641","7812","557729","3033","190905","183","181857","799","155738","382","74942","35","18709","25","84424","94"
"1030","2/12 22:0","5330900","25757","1951764","1807","5008053","6639","557756","3184","190922","169","181862","724","155754","358","74944","30","18716","21","84425","80"
"1031","2/12 23:0","5331251","24988","1952137","1797","5008442","6818","557774","3294","190929","178","181875","709","155768","274","74945","15","18720","22","84427","81"
"1032","2/13 0:0","5331607","23073","1952515","1677","5008827","7322","557794","3253","190937","159","181884","647","155777","284","74946","23","18722","32","84424","73"
"1033","2/13 1:0","5331884","21058","1952820","1631","5009132","8487","557822","3022","190940","137","181887","683","155785","229","74945","23","18723","24","84424","76"
"1034","2/13 2:0","5332209","20835","1953170","1564","5009466","7124","557856","3014","190945","150","181896","661","155793","223","74944","23","18723","24","84424","65"
"1035","2/13 3:0","5332722","25892","1953696","1769","5010020","6779","557895","3160","190952","126","181909","718","155801","190","74944","56","18725","30","84426","86"
"1036","2/13 4:0","5333125","26366","1954117","1862","5010434","6160","557933","3467","190955","112","181923","725","155812","165","74947","58","18729","25","84427","92"
"1037","2/13 5:0","5333468","22977","1954475","2173","5010797","6020","557954","3810","190966","100","181933","687","155822","154","74948","45","18729","21","84425","98"
"1038","2/13 6:0","5333775","18545","1954805","2206","5011124","5702","557979","3494","190971","74","181936","639","155833","117","74951","26","18731","25","84423","94"
"1039","2/13 7:0","5334054","15533","1955070","1855","5011412","4642","558000","3036","190978","65","181944","517","155838","89","74951","33","18731","22","84424","66"
"1040","2/13 8:0","5334353","12645","1955377","1590","5011721","4914","558022","2648","190983","50","181949","498","155839","75","74952","23","18733","19","84424","58"
"1041","2/13 9:0","5334597","9885","1955619","1491","5011960","4657","558050","2058","190986","41","181948","392","155845","62","74951","22","18733","16","84425","36"
"1042","2/13 10:0","5334774","8051","1955797","1427","5012134","3938","558057","1636","190990","27","181950","342","155845","46","74952","9","18734","10","84425","31"
"1043","2/13 11:0","5334920","8084","1955959","1336","5012289","3635","558075","1647","190991","33","181954","277","155850","64","74952","11","18736","11","84425","39"
"1044","2/13 12:0","5335075","9604","1956129","1347","5012447","3302","558080","1894","191001","34","181958","290","155853","64","74952","19","18737","12","84425","45"
"1045","2/13 13:0","5335229","14310","1956307","1537","5012623","3862","558092","2363","191003","36","181960","357","155861","86","74954","22","18737","14","84424","59"
"1046","2/13 14:0","5335430","16968","1956517","1732","5012836","5302","558109","2770","191004","61","181968","466","155862","47","74957","26","18738","15","84424","67"
"1047","2/13 15:0","5335659","20010","1956755","1818","5013070","7158","558123","2966","191007","100","181966","728","155870","49","74959","38","18738","16","84424","86"
"1048","2/13 16:0","5335911","19597","1957002","2081","5013321","6169","558138","2906","191004","206","181976","610","155875","64","74962","38","18740","17","84422","97"
"1049","2/13 17:0","5336246","23488","1957368","2458","5013682","6940","558139","2806","191005","162","181983","706","155882","67","74963","30","18738","21","84426","97"
"1050","2/13 18:0","5336562","23947","1957722","3117","5014019","6689","558146","2663","191014","148","181991","782","155891","277","74967","42","18741","18","84422","86"
"1051","2/13 19:0","5336972","28324","1958164","4580","5014434","7527","558150","2703","191019","155","181995","818","155903","358","74969","32","18743","21","84421","103"
"1052","2/13 20:0","5337374","29870","1958583","5407","5014852","8309","558175","2836","191027","113","182006","868","155914","319","74969","34","18746","21","84422","90"
"1053","2/13 21:0","5337811","29477","1959068","4668","5015328","7841","558198","2872","191035","128","182018","979","155923","354","74972","32","18746","21","84425","77"
"1054","2/13 22:0","5338306","33137","1959548","4354","5015811","6696","558212","3159","191048","121","182026","910","155931","309","74974","32","18745","18","84431","85"
"1055","2/13 23:0","5338682","32509","1959935","4304","5016190","6448","558235","3238","191059","104","182036","832","155938","242","74976","30","18746","20","84429","89"
"1056","2/14 0:0","5339069","36930","1960342","3887","5016603","5791","558270","3134","191062","109","182043","870","155950","253","74979","31","18750","19","84431","87"
"1057","2/14 1:0","5339449","29311","1960745","3425","5016970","5434","558294","3014","191058","79","182061","1002","155954","223","74981","33","18755","20","84431","87"
"1058","2/14 2:0","5339841","27242","1961141","3313","5017369","5868","558308","3382","191063","65","182068","875","155962","206","74985","44","18756","22","84435","90"
"1059","2/14 3:0","5340201","28344","1961506","2961","5017729","6039","558331","3595","191071","92","182076","847","155970","212","74985","52","18756","20","84435","104"
"1060","2/14 4:0","5340573","28581","1961893","2879","5018134","5506","558354","3869","191081","99","182088","842","155980","220","74986","43","18756","22","84438","105"
"1061","2/14 5:0","5340901","22613","1962246","2556","5018482","4735","558383","3954","191096","112","182095","759","155983","180","74992","44","18757","18","84439","127"
"1062","2/14 6:0","5341186","19649","1962523","2290","5018777","4011","558404","3482","191101","116","182098","623","155993","176","74995","34","18758","16","84440","93"
"1063","2/14 7:0","5341421","16596","1962774","1881","5019020","3464","558417","3057","191106","102","182102","505","156001","210","75000","27","18757","8","84439","90"
"1064","2/14 8:0","5341640","13309","1963010","1603","5019257","2943","558442","2489","191109","113","182108","425","156012","232","75001","18","18758","14","84441","61"
"1065","2/14 9:0","5341826","10414","1963204","1381","5019444","2263","558463","1954","191114","120","182114","342","156018","245","75002","13","18758","8","84440","51"
"1066","2/14 10:0","5341953","8474","1963351","1131","5019592","1833","558466","1539","191120","92","182120","291","156020","251","75005","15","18758","11","84440","43"
"1067","2/14 11:0","5342092","8180","1963505","1163","5019742","1909","558473","1494","191122","64","182125","253","156022","255","75007","20","18758","11","84442","36"
"1068","2/14 12:0","5342224","9438","1963649","1271","5019876","2411","558483","1755","191122","93","182128","266","156026","393","75008","11","18758","3","84441","39"
"1069","2/14 13:0","5342375","13162","1963806","1707","5020026","3463","558489","2216","191125","131","182129","368","156034","903","75009","24","18758","8","84443","53"
"1070","2/14 14:0","5342548","19337","1963991","3049","5020214","6481","558496","2959","191129","121","182136","921","156055","1215","75011","28","18758","8","84443","62"
"1071","2/14 15:0","5342734","14737","1964214","3444","5020427","7524","558511","3442","191136","165","182140","615","156084","1534","75012","23","18758","11","84443","68"
"1072","2/14 16:0","5342948","16945","1964462","3309","5020667","8133","558519","3693","191143","139","182151","742","156134","1574","75014","24","18758","10","84447","67"
"1073","2/14 17:0","5343220","19195","1964770","3138","5020969","8204","558532","3609","191154","150","182161","782","156171","1486","75013","28","18758","10","84447","97"
"1074","2/14 18:0","5343512","23407","1965078","2482","5021289","7987","558535","3569","191161","120","182163","839","156202","1213","75010","31","18758","17","84444","81"
"1075","2/14 19:0","5343808","23965","1965395","2221","5021579","7157","558561","3261","191170","142","182167","869","156233","1214","75008","27","18759","13","84445","81"
"1076","2/14 20:0","5344062","23107","1965659","2165","5021869","6431","558579","3375","191180","171","182174","754","156257","1117","75011","29","18756","19","84446","82"
"1077","2/14 21:0","5344378","25031","1965964","2173","5022195","6487","558592","3607","191175","138","182190","779","156287","1168","75014","25","18756","8","84446","76"
"1078","2/14 22:0","5344687","25268","1966312","2172","5022527","6085","558637","3590","191185","165","182210","791","156308","563","75015","28","18758","17","84448","93"
"1079","2/14 23:0","5344938","24668","1966587","2268","5022803","6485","558669","3735","191191","260","182221","784","156320","453","75088","175","18758","19","84450","90"
"1080","2/15 0:0","5345166","24075","1966839","2583","5023070","6821","558720","3658","191197","232","182228","748","156327","336","75218","146","18758","14","84452","73"
"1081","2/15 1:0","5345381","29957","1967074","3229","5023306","6729","558745","3214","191215","185","182232","681","156332","320","75345","114","18758","18","84453","64"
"1082","2/15 2:0","5345645","25518","1967351","2496","5023577","6613","558778","3082","191229","167","182241","582","156339","291","75408","69","18759","23","84453","63"
"1083","2/15 3:0","5345893","23317","1967602","2306","5023838","7165","558810","2999","191233","148","182247","559","156347","258","75431","43","18760","16","84454","51"
"1084","2/15 4:0","5346166","17017","1967878","1886","5024108","7532","558828","3305","191236","117","182246","521","156356","225","75444","42","18762","9","84453","65"
"1085","2/15 5:0","5346444","16043","1968179","1734","5024394","6530","558853","3598","191245","108","182254","484","156367","193","75463","42","18764","19","84457","72"
"1086","2/15 6:0","5346697","15623","1968454","1412","5024657","5962","558869","3437","191254","96","182268","472","156380","165","75479","41","18768","18","84459","50"
"1087","2/15 7:0","5346917","11500","1968674","1297","5024881","6483","558894","3119","191256","61","182271","391","156389","106","75492","23","18768","8","84459","51"
"1088","2/15 8:0","5347108","8888","1968870","1054","5025089","5832","558912","2691","191257","56","182278","308","156396","93","75501","15","18767","10","84459","50"
"1089","2/15 9:0","5347319","7208","1969090","923","5025310","4805","558932","2196","191259","52","182286","275","156402","95","75508","20","18767","13","84456","38"
"1090","2/15 10:0","5347495","6673","1969271","893","5025493","4129","558952","1812","191266","39","182294","255","156406","85","75512","11","18768","13","84457","40"
"1091","2/15 11:0","5347677","6121","1969460","754","5025704","3520","558975","1590","191269","31","182299","245","156410","74","75515","16","18769","10","84458","33"
"1092","2/15 12:0","5347817","6166","1969611","679","5025843","3533","558983","1531","191269","42","182300","229","156412","64","75517","15","18770","8","84457","36"
"1093","2/15 13:0","5347947","7528","1969753","765","5025974","4273","558993","1987","191270","40","182306","285","156418","73","75518","9","18770","9","84457","44"
"1094","2/15 14:0","5348103","10179","1969934","909","5026154","4933","559006","2403","191274","49","182312","362","156423","69","75520","14","18768","13","84456","70"
"1095","2/15 15:0","5348314","12988","1970148","1101","5026374","6529","559022","2845","191280","46","182319","444","156428","96","75522","18","18769","20","84454","115"
"1096","2/15 16:0","5348545","15431","1970398","2444","5026618","8780","559007","3224","191288","55","182329","747","156432","136","75527","21","18771","17","84454","155"
"1097","2/15 17:0","5348807","17079","1970675","2500","5026896","9071","559019","3466","191297","62","182331","766","156441","111","75526","18","18772","19","84456","221"
"1098","2/15 18:0","5349101","22661","1970974","2559","5027216","8142","559035","3281","191303","51","182335","786","156452","158","75529","14","18772","21","84458","207"
"1099","2/15 19:0","5349479","22602","1971393","2559","5027611","8224","559046","2991","191305","74","182337","829","156470","162","75530","19","18771","16","84458","216"
"1100","2/15 20:0","5349856","23793","1971798","2251","5028013","8197","559048","2962","191307","154","182323","983","156480","184","75531","23","18774","22","84456","167"
"1101","2/15 21:0","5350203","31805","1972163","1810","5028390","10079","559074","2947","191309","178","182303","981","156486","203","75533","23","18774","29","84455","174"
"1102","2/15 22:0","5350559","25334","1972538","1798","5028772","6330","559090","2902","191318","215","182296","896","156498","206","75533","16","18774","29","84456","166"
"1103","2/15 23:0","5350904","25369","1972903","1750","5029145","6866","559112","2961","191334","250","182299","832","156508","330","75539","19","18773","39","84455","134"
"1104","2/16 0:0","5351242","23618","1973260","1654","5029514","6385","559133","2815","191348","246","182305","787","156519","304","75543","22","18773","20","84456","126"
"1105","2/16 1:0","5351564","23000","1973602","1597","5029864","7045","559148","2683","191365","223","182308","757","156527","310","75544","14","18774","29","84456","92"
"1106","2/16 2:0","5351879","23169","1973924","1514","5030182","8184","559175","2527","191372","202","182319","671","156534","265","75545","20","18775","14","84456","78"
"1107","2/16 3:0","5352209","24659","1974254","1443","5030516","6122","559192","2460","191389","152","182334","707","156541","216","75546","22","18776","21","84457","126"
"1108","2/16 4:0","5352548","24675","1974608","1340","5030881","5412","559209","2893","191407","119","182348","717","156553","185","75550","31","18776","24","84460","146"
"1109","2/16 5:0","5352850","27871","1974937","1409","5031189","5181","559237","2807","191407","99","182350","676","156558","197","75555","41","18778","25","84461","126"
"1110","2/16 6:0","5353111","24347","1975210","1560","5031458","5013","559253","2977","191421","81","182358","611","156567","159","75560","34","18778","29","84462","106"
"1111","2/16 7:0","5353400","17970","1975537","1703","5031786","6575","559278","2882","191423","70","182368","577","156570","152","75562","40","18778","22","84463","89"
"1112","2/16 8:0","5353630","14251","1975782","1774","5032035","9671","559304","2636","191420","55","182370","493","156575","111","75565","29","18779","9","84465","84"
"1113","2/16 9:0","5353831","12422","1975999","1872","5032247","7189","559322","2342","191427","47","182368","462","156579","108","75565","20","18779","7","84465","76"
"1114","2/16 10:0","5353976","10769","1976184","1990","5032428","5626","559328","1934","191430","43","182362","377","156584","106","75565","10","18778","11","84468","56"
"1115","2/16 11:0","5354110","9593","1976344","1794","5032586","5360","559334","1800","191434","40","182366","368","156583","90","75565","17","18778","10","84469","53"
"1116","2/16 12:0","5354253","9354","1976493","1518","5032736","5298","559336","1620","191436","37","182366","353","156583","88","75565","13","18778","5","84468","43"
"1117","2/16 13:0","5354409","10440","1976665","1632","5032905","5543","559355","1967","191438","43","182368","371","156587","111","75567","12","18777","16","84467","45"
"1118","2/16 14:0","5354587","12774","1976869","1910","5033104","6418","559373","2496","191441","41","182368","400","156586","100","75566","23","18777","10","84467","65"
"1119","2/16 15:0","5354763","10263","1977067","2285","5033307","8206","559372","2948","191443","60","182373","460","156584","117","75566","12","18777","13","84468","78"
"1120","2/16 16:0","5355018","19515","1977322","3637","5033564","10305","559393","3636","191444","82","182383","530","156586","202","75569","37","18779","13","84470","97"
"1121","2/16 17:0","5355311","21192","1977645","3739","5033879","10080","559413","3790","191449","102","182392","631","156592","247","75570","31","18780","13","84471","99"
"1122","2/16 18:0","5355627","21742","1977966","2938","5034207","11116","559432","3522","191452","124","182399","832","156601","268","75571","30","18782","18","84472","142"
"1123","2/16 19:0","5355953","21279","1978319","2514","5034544","10941","559456","3489","191449","773","182404","782","156611","252","75569","40","18782","19","84470","187"
"1124","2/16 20:0","5356276","21605","1978661","2235","5034893","9899","559472","3408","191455","1221","182412","805","156620","235","75569","65","18782","21","84471","163"
"1125","2/16 21:0","5356643","24225","1979041","2010","5035280","9768","559508","3240","191461","1493","182432","973","156629","220","75568","54","18782","20","84474","179"
"1126","2/16 22:0","5356982","20266","1979398","1848","5035651","10027","559539","3302","191476","1869","182443","953","156631","205","75573","61","18782","18","84474","150"
"1127","2/16 23:0","5357329","20165","1979759","1719","5036029","14873","559569","3236","191490","1625","182451","949","156643","204","75573","75","18781","22","84474","158"
"1128","2/17 0:0","5357704","23258","1980154","1686","5036418","15294","559598","3117","191507","1577","182455","883","156648","152","75574","63","18783","23","84475","136"
"1129","2/17 1:0","5358083","21178","1980537","1627","5036804","13456","559627","3384","191518","1206","182467","853","156656","151","75578","67","18786","23","84476","142"
"1130","2/17 2:0","5358472","22393","1980953","1565","5037204","14111","559652","3880","191527","982","182476","833","156667","154","75581","58","18788","25","84475","107"
"1131","2/17 3:0","5358837","21353","1981332","1725","5037579","12400","559697","3718","191543","757","182489","824","156676","154","75586","63","18791","28","84476","129"
"1132","2/17 4:0","5359210","22881","1981725","1959","5037972","11482","559726","4089","191559","685","182501","789","156685","140","75590","46","18791","28","84478","94"
"1133","2/17 5:0","5359608","26409","1982128","2118","5038395","10287","559758","3976","191566","549","182518","722","156701","133","75597","61","18792","25","84479","108"
"1134","2/17 6:0","5359888","20457","1982428","2888","5038689","9130","559789","3526","191575","403","182528","707","156706","173","75598","40","18794","21","84480","97"
"1135","2/17 7:0","5360198","15088","1979041","2010","5039019","7460","559826","3227","191589","284","182534","647","156716","444","75603","39","18796","13","84484","85"
"1136","2/17 8:0","5360443","13188","1983015","2019","5039266","6462","559845","2643","191595","219","182547","636","156721","527","75604","29","18798","11","84487","70"
"1137","2/17 9:0","5360615","10326","1983195","1552","5039442","5242","559863","2151","191601","165","182551","455","156745","556","75607","23","18798","7","84488","52"
"1138","2/17 10:0","5360795","8476","1983379","1337","5039638","4265","559895","1764","191606","124","182561","450","156763","605","75610","10","18799","15","84492","40"
"1139","2/17 11:0","5360967","8754","1983559","1172","5039831","3518","559906","1570","191608","115","182570","426","156799","581","75612","16","18799","11","84495","33"
"1140","2/17 12:0","5361118","9825","1983734","1250","5040002","3520","559915","1815","191616","85","182577","394","156838","709","75614","13","18798","15","84494","51"
"1141","2/17 13:0","5361293","12518","1983917","1615","5040179","4098","559917","2181","191620","118","182578","511","156881","942","75615","14","18798","12","84495","40"
"1142","2/17 14:0","5361456","17414","1984123","1747","5040372","4471","559924","2546","191625","125","182579","553","156925","991","75615","19","18798","13","84493","64"
"1143","2/17 15:0","5361659","17626","1984347","1957","5040585","4786","559946","2960","191630","147","182586","647","156961","802","75614","31","18800","24","84492","78"
"1144","2/17 16:0","5361924","23611","1984632","1869","5040871","7210","559954","3392","191632","178","182593","832","156998","812","75617","23","18800","21","84491","97"
"1145","2/17 17:0","5362204","21789","1984940","1215","5041170","8027","559978","3524","191635","247","182597","856","157025","545","75618","17","18800","16","84491","80"
"1146","2/17 18:0","5362492","21841","1985258","1027","5041477","8034","560011","3231","191639","258","182601","767","157039","435","75618","20","18800","11","84491","94"
"1147","2/17 19:0","5362819","23399","1985602","929","5041827","6551","560035","3212","191643","312","182611","724","157061","359","75616","18","18801","13","84491","111"
"1148","2/17 20:0","5363166","28753","1985992","986","5042218","7430","560045","3299","191654","268","182629","815","157076","358","75618","27","18800","17","84490","104"
"1149","2/17 21:0","5363560","28208","1986414","949","5042646","7185","560093","3438","191658","262","182647","759","157090","312","75620","27","18801","22","84491","97"
"1150","2/17 22:0","5363927","26841","1986815","938","5043048","9276","560114","3684","191669","206","182651","770","157097","243","75622","36","18804","28","84490","104"
"1151","2/17 23:0","5364269","29769","1987201","849","5043435","10256","560135","3803","191675","186","182680","800","157105","262","75623","40","18809","27","84491","132"
"1152","2/18 0:0","5364590","25341","1987540","699","5043798","7588","560161","3813","191686","171","182688","684","157126","230","75627","51","18809","16","84488","100"
"1153","2/18 1:0","5364944","22060","1987899","721","5044173","6631","560195","3723","191696","121","182702","671","157143","207","75632","48","18811","12","84489","104"
"1154","2/18 2:0","5365409","25217","1988366","722","5044642","6565","560237","3679","191707","129","182717","663","157158","219","75633","50","18813","22","84489","105"
"1155","2/18 3:0","5365789","27550","1988752","945","5045035","6908","560271","4022","191714","120","182725","663","157171","233","75635","45","18815","21","84488","108"
"1156","2/18 4:0","5366218","24506","1989205","1517","5045481","7223","560307","4703","191732","116","182735","742","157201","225","75636","52","18814","23","84488","110"
